PopulationID,PopulationName,num_euploid,num_aneuploid_100,num_aneuploid_95,num_aneuploid_90,num_aneuploid_85,num_aneuploid_80,num_aneuploid_75,num_aneuploid_70,num_aneuploid_65,num_aneuploid_60,num_aneuploid_55,num_aneuploid_50,num_aneuploid_45,num_aneuploid_40,num_aneuploid_35,num_aneuploid_30,num_aneuploid_25,num_aneuploid_20,num_aneuploid_15,num_aneuploid_10,num_aneuploid_05
1,Population 1,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,914,6396,0,0,0,0
2,Population 2,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,902,6408,0,0,0,0
3,Population 3,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,891,6419,0,0,0,0
4,Population 4,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,879,6431,0,0,0,0
5,Population 5,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,868,6442,0,0,0,0
6,Population 6,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,856,6454,0,0,0,0
7,Population 7,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,845,6465,0,0,0,0
8,Population 8,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,833,6477,0,0,0,0
9,Population 9,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,822,6488,0,0,0,0
10,Population 10,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,810,6500,0,0,0,0
11,Population 11,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,799,6511,0,0,0,0
12,Population 12,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,787,6523,0,0,0,0
13,Population 13,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,776,6534,0,0,0,0
14,Population 14,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,764,6546,0,0,0,0
15,Population 15,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,753,6557,0,0,0,0
16,Population 16,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,741,6569,0,0,0,0
17,Population 17,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,730,6580,0,0,0,0
18,Population 18,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,718,6592,0,0,0,0
19,Population 19,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,707,6603,0,0,0,0
20,Population 20,0,4088,0,0,0,462,0,0,0,0,0,0,0,0,0,695,6615,0,0,0,0
