PopulationID,PopulationName,num_euploid,num_aneuploid_100,num_aneuploid_95,num_aneuploid_90,num_aneuploid_85,num_aneuploid_80,num_aneuploid_75,num_aneuploid_70,num_aneuploid_65,num_aneuploid_60,num_aneuploid_55,num_aneuploid_50,num_aneuploid_45,num_aneuploid_40,num_aneuploid_35,num_aneuploid_30,num_aneuploid_25,num_aneuploid_20,num_aneuploid_15,num_aneuploid_10,num_aneuploid_05
1,Population 1,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,1555,1554,1554,1554
2,Population 2,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2109,1554,1554,1555
3,Population 3,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2610,1554,1554,1554
4,Population 4,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,2860,1554,1554,1554
5,Population 5,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3010,1554,1554,1554
6,Population 6,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943,1943,1943,1943
7,Population 7,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,2443,1943,1943
8,Population 8,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2886,1943,1943
9,Population 9,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,3386,1943,1943
10,Population 10,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,3636,1943,1943
11,Population 11,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3786,1943,1943
12,Population 12,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,2591,2591
13,Population 13,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,3091,2591
14,Population 14,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,3591,2591
15,Population 15,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,4091,2591
16,Population 16,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,4681,2591
17,Population 17,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,4931,2591
18,Population 18,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5081,2591
19,Population 19,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181,2591
20,Population 20,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886,3886
21,Population 21,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3386,4386
22,Population 22,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2886,4886
23,Population 23,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,5386
24,Population 24,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,5886
25,Population 25,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,6386
26,Population 26,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,6886
27,Population 27,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,7272
28,Population 28,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,7522
29,Population 29,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7672
30,Population 30,0,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7772
