PopulationID,PopulationName,num_euploid,num_aneuploid_100,num_aneuploid_90,num_aneuploid_80,num_aneuploid_70,num_aneuploid_60,num_aneuploid_50,num_aneuploid_40,num_aneuploid_30,num_aneuploid_20,num_aneuploid_10
1,Population 1,6240,4088,0,462,0,0,0,0,1070,0,0
2,Population 2,6252,4088,0,462,0,0,0,0,1058,0,0
3,Population 3,6264,4088,0,462,0,0,0,0,1046,0,0
4,Population 4,6276,4088,0,462,0,0,0,0,1034,0,0
5,Population 5,6288,4088,0,462,0,0,0,0,1022,0,0
6,Population 6,6300,4088,0,462,0,0,0,0,1010,0,0
7,Population 7,6312,4088,0,462,0,0,0,0,998,0,0
8,Population 8,6324,4088,0,462,0,0,0,0,986,0,0
9,Population 9,6336,4088,0,462,0,0,0,0,974,0,0
10,Population 10,6348,4088,0,462,0,0,0,0,962,0,0
11,Population 11,6360,4088,0,462,0,0,0,0,950,0,0
12,Population 12,6372,4088,0,462,0,0,0,0,938,0,0
13,Population 13,6384,4088,0,462,0,0,0,0,926,0,0
14,Population 14,6396,4088,0,462,0,0,0,0,914,0,0
15,Population 15,6408,4088,0,462,0,0,0,0,902,0,0
16,Population 16,6419,4088,0,462,0,0,0,0,891,0,0
