PopulationID,Population_name,prop_euploid,prop_aneuploid_100,prop_aneuploid_90,prop_aneuploid_80,prop_aneuploid_70,prop_aneuploid_60,prop_aneuploid_50,prop_aneuploid_40,prop_aneuploid_30,prop_aneuploid_20,prop_aneuploid_10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Population 11,0.1,0.3,0,0,0,0.1,0,0,0.5,0,0
,Population 11.1,0.11,0.3,0,0,0,0.1,0,0,0.49,0,0
,Population 11.2,0.12,0.3,0,0,0,0.1,0,0,0.48,0,0
,Population 11.3,0.13,0.3,0,0,0,0.1,0,0,0.47,0,0
,Population 11.4,0.14,0.3,0,0,0,0.1,0,0,0.46,0,0
,Population 11.5,0.15,0.3,0,0,0,0.1,0,0,0.45,0,0
,Population 11.6,0.16,0.3,0,0,0,0.1,0,0,0.44,0,0
,Population 11.7,0.17,0.3,0,0,0,0.1,0,0,0.43,0,0
,Population 11.8,0.18,0.3,0,0,0,0.1,0,0,0.42,0,0
,Population 11.9,0.19,0.3,0,0,0,0.1,0,0,0.41,,
12,Population 12,0.2,0.3,0,0,0,0.1,0,0,0.4,0,0
13,Population 13,0.3,0.3,0,0,0,0.1,0,0,0.3,0,0
14,Population 14,0.4,0.3,0,0,0,0.1,0,0,0.2,0,0
15,Population 15,0.5,0.3,0,0,0,0.1,0,0,0.1,0,0
,Population 17,0.51,0.3,0,0,0,0.1,0,0,0.09,0,0
,Population 11.2,0.52,0.3,0,0,0,0.1,0,0,0.08,0,0
,Population 11.3,0.53,0.3,0,0,0,0.1,0,0,0.07,0,0
,Population 11.4,0.54,0.3,0,0,0,0.1,0,0,0.06,0,0
,Population 11.5,0.55,0.3,0,0,0,0.1,0,0,0.05,0,0
,Population 11.6,0.56,0.3,0,0,0,0.1,0,0,0.04,0,0
,Population 11.7,0.57,0.3,0,0,0,0.1,0,0,0.03,0,0
,Population 11.8,0.58,0.3,0,0,0,0.1,0,0,0.02,0,0
,Population 11.9,0.59,0.3,0,0,0,0.1,0,0,0.01,0,0
