,Biopsy Counts,,,,,
PopulationID,Euploid_Count,Mosaic_Low_Count,Mosaic_High_Count,Aneuploid_Count,ChiSquaredStatistic,ChiSquaredPValue
1,6470,724,423,4243,8.431658194,0.037884222
2,6461,723,431,4245,8.029603896,0.045403828
3,6503,677,441,4239,13.31676542,0.003999333
4,6501,683,446,4230,11.79495713,0.008119595
5,6510,671,420,4259,16.64901807,0.000834462
6,6499,674,445,4242,13.78624209,0.003211036
7,6516,666,433,4245,15.97325185,0.001148393
8,6520,675,424,4241,14.87668615,0.00192512
9,6534,640,435,4251,21.60433016,7.88410056526096e-05
10,6558,642,426,4234,21.28820063,9.1719423110676e-05
