,Biopsy Counts,,,,,
PopulationID,Euploid_Count,Mosaic_Low_Count,Mosaic_High_Count,Aneuploid_Count,ChiSquaredStatistic,ChiSquaredPValue
1,6544,656,431,4229,17.59923779,0.000532002
2,6544,630,448,4238,22.98285595,4.07166623366257e-05
3,6552,630,446,4232,22.88338187,4.27074680182158e-05
4,6558,639,432,4231,21.42917819,8.57360212455927e-05
5,6567,646,403,4244,23.37630946,3.37083690652208e-05
6,6583,607,438,4232,29.73628284,1.5680584849236e-06
7,6612,611,410,4227,31.2531368,7.51861187487199e-07
8,6600,600,426,4234,32.9180725,3.35140766143459e-07
9,6603,618,408,4231,29.56117616,1.70679961034823e-06
10,6621,582,403,4254,42.32994284,3.41469777631375e-09
11,6618,611,396,4235,33.59559725,2.4114812235382e-07
12,6647,555,414,4244,50.90632381,5.12213667807929e-11
13,6646,572,384,4258,49.60380349,9.70226547901824e-11
14,6663,567,393,4237,49.36842739,1.08890750782258e-10
15,6679,531,410,4240,61.99238299,2.20535126141712e-13
16,6696,530,394,4240,65.18708266,4.57447254340317e-14
17,6693,526,398,4243,66.3758122,2.5469571270072e-14
18,6684,528,407,4241,63.87703583,8.72039901800202e-14
19,6706,507,414,4233,73.29053453,8.42239353656845e-16
20,6723,487,435,4215,81.81428039,1.2526322620425e-17
