PopulationID,Population_name,prop_euploid,prop_aneuploid_100,prop_aneuploid_90,prop_aneuploid_80,prop_aneuploid_70,prop_aneuploid_60,prop_aneuploid_50,prop_aneuploid_40,prop_aneuploid_30,prop_aneuploid_20,prop_aneuploid_10
1,Population 1,53.94,34.56,0,3.89,0,0,0,0,7.61,0,0
2,Population 2,53.95,34.55,0,3.89,0,0,0,0,7.56,0,0
3,Population 3,53.96,34.54,0,3.89,0,0,0,0,7.51,0,0
4,Population 4,53.98,34.52,0,3.87,0,0,0,0,7.47,0,0
5,Population 5,53.99,34.51,0,3.87,0,0,0,0,7.43,0,0
6,Population 6,54,34.5,0,3.87,0,0,0,0,7.38,0,0
7,Population 7,54.02,34.49,0,3.87,0,0,0,0,7.34,0,0
8,Population 8,54.03,34.48,0,3.87,0,0,0,0,7.29,0,0
9,Population 9,54.04,34.47,0,3.87,0,0,0,0,7.24,0,0
10,Population 10,54.05,34.46,0,3.87,0,0,0,0,7.19,0,0
11,Population 11,54.07,34.45,0,3.87,0,0,0,0,7.15,0,0
12,Population 12,54.08,34.44,0,3.87,0,0,0,0,7.1,0,0
13,Population 13,54.09,34.43,0,3.87,0,0,0,0,7.06,0,0
14,Population 14,54.11,34.42,0,3.87,0,0,0,0,7.01,0,0
15,Population 15,54.12,34.41,0,3.87,0,0,0,0,6.97,0,0
16,Population 16,54.13,34.4,0,3.87,0,0,0,0,6.92,0,0
17,Population 17,54.15,34.39,0,3.87,0,0,0,0,6.87,0,0
18,Population 18,54.16,34.38,0,3.87,0,0,0,0,6.83,0,0
19,Population 19,54.17,34.37,0,3.87,0,0,0,0,6.78,0,0
20,Population 20,54.18,34.36,0,3.87,0,0,0,0,6.74,0,0
